x,y,z
391.0,-178.5,0.0
383.0,-178.5,0.0
361.0,-171.5,0.0
343.0,-159.5,0.0
329.5,-145.0,0.0
322.5,-93.0,0.0
320.5,-9.0,0.0
314.5,12.0,0.0
308.0,20.5,0.0
285.0,28.5,0.0
267.0,25.5,0.0
250.0,13.5,0.0
236.5,-5.0,0.0
220.0,-17.5,0.0
211.0,-28.5,0.0
198.0,-30.5,0.0
180.0,-30.5,0.0
154.0,-24.5,0.0
126.5,1.0,0.0
122.5,31.0,0.0
122.5,89.0,0.0
131.5,103.0,0.0
135.5,121.0,0.0
149.5,133.0,0.0
157.5,162.0,0.0
166.0,172.5,0.0
182.0,176.5,0.0
206.0,178.5,0.0
222.0,176.5,0.0
234.5,168.0,0.0
237.5,149.0,0.0
241.5,140.0,0.0
253.0,132.5,0.0
264.0,117.5,0.0
282.0,106.5,0.0
297.0,102.5,0.0
400.0,98.5,0.0
481.0,102.5,0.0
507.0,116.5,0.0
522.0,132.5,0.0
542.0,149.5,0.0
545.0,149.5,0.0
566.0,135.5,0.0
585.0,126.5,0.0
595.5,111.0,0.0
605.5,101.0,0.0
608.5,93.0,0.0
609.5,64.0,0.0
601.5,40.0,0.0
590.0,27.5,0.0
570.0,14.5,0.0
555.0,10.5,0.0
512.0,4.5,0.0
483.0,8.5,0.0
471.5,1.0,0.0
467.5,-6.0,0.0
466.5,-22.0,0.0
458.5,-51.0,0.0
455.5,-80.0,0.0
450.5,-92.0,0.0
446.5,-131.0,0.0
442.5,-140.0,0.0
436.5,-171.0,0.0
423.0,-175.5,0.0
391.0,-178.5,0.0
