x,y,z
-270.0,-122.5,0.0
-278.0,-120.5,0.0
-316.0,-96.5,0.0
-380.0,-46.5,0.0
-423.5,-0.0,0.0
-446.5,36.0,0.0
-459.5,73.0,0.0
-460.5,102.0,0.0
-458.5,114.0,0.0
-450.5,133.0,0.0
-442.5,145.0,0.0
-419.0,163.5,0.0
-396.0,172.5,0.0
-375.0,174.5,0.0
-349.0,171.5,0.0
-330.0,164.5,0.0
-319.0,158.5,0.0
-300.5,143.0,0.0
-283.5,121.0,0.0
-273.0,99.5,0.0
-270.5,100.0,0.0
-263.5,116.0,0.0
-253.5,131.0,0.0
-236.0,149.5,0.0
-213.0,164.5,0.0
-185.0,173.5,0.0
-148.0,172.5,0.0
-126.0,164.5,0.0
-102.5,146.0,0.0
-90.5,128.0,0.0
-83.5,105.0,0.0
-85.5,68.0,0.0
-91.5,49.0,0.0
-102.5,26.0,0.0
-119.5,1.0,0.0
-133.5,-16.0,0.0
-185.0,-64.5,0.0
-227.0,-95.5,0.0
-270.0,-122.5,0.0
